AI-SOC V4 Python Legacy / Migration Inventory — 2026-08-11

Interpretation: existence of these files does NOT mean the current production entrypoints invoke Python. The Rust-first production gate separately checks Dockerfiles, Compose, systemd and Make runtime targets. This inventory records remaining migration debt and regression assets.

Summary:
  migrations: 18 files, 3808 LOC
  scripts: 6 files, 942 LOC
  src/aisoc/agent_core: 21 files, 9071 LOC
  src/aisoc/ai_review: 12 files, 3363 LOC
  src/aisoc/api_server: 22 files, 2238 LOC
  src/aisoc/config: 2 files, 602 LOC
  src/aisoc/detection_engine: 13 files, 2121 LOC
  src/aisoc/domain: 13 files, 5338 LOC
  src/aisoc/enrich: 3 files, 386 LOC
  src/aisoc/incident_engine: 4 files, 1443 LOC
  src/aisoc/ingest_gateway: 3 files, 482 LOC
  src/aisoc/malware_engine: 9 files, 1612 LOC
  src/aisoc/normalize: 12 files, 2019 LOC
  src/aisoc/notification_engine: 4 files, 596 LOC
  src/aisoc/observability: 4 files, 284 LOC
  src/aisoc/platform: 4 files, 545 LOC
  src/aisoc/process: 2 files, 106 LOC
  src/aisoc/response_engine: 7 files, 2047 LOC
  src/aisoc/root: 4 files, 431 LOC
  src/aisoc/storage: 19 files, 12681 LOC
  src/aisoc/trace_engine: 4 files, 1245 LOC
  tests: 101 files, 23723 LOC
  TOTAL: 287 files, 75083 LOC

Per-file inventory:
src/aisoc/__init__.py	3 LOC	legacy functional baseline (root); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/_rustcore.py	246 LOC	legacy functional baseline (root); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/__init__.py	227 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/__main__.py	112 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/artifact_builder.py	145 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
src/aisoc/agent_core/auditd.py	231 LOC	legacy functional baseline (agent_core); retained for migration/differential acceptance, not an approved Rust-first production runtime entrypoint
